mol_name,SMILES,dG_bind,dG_bind_err,vacuum_dG_bind,solvent_dG_bind,complex_dG_bind,Glide_score,dummy_atoms
atoms 29 bonds 31_3255,[H]OC([H])([H])c1c([H])c(Cl)c(C(=O)N([H])c2c([H])c([H])nc(N([H])C(=O)N([H])c3c([H])nc([H])c([H])c3[H])c2[H])c(Cl)c1[H],-17.083784308157206,0.7128781530809685,133.7017291680659,88.5531248651152,71.46934055695799,-9.11221418181991,24
atoms 28 bonds 30_5643,[H]OC([H])([H])c1c([H])c(Cl)c(C(=O)N([H])c2c([H])c([H])nc(N([H])c3nc(C([H])([H])[H])nc(C([H])([H])[H])c3[H])c2[H])c(Cl)c1[H],-15.322988315666677,0.7372682790661703,-51.02298049792508,-77.89213805179924,-93.21512636746591,-8.97015839132094,29
atoms 29 bonds 31_2519,[H]C([H])=C([H])c1c([H])c(Cl)c(C(=O)N([H])c2c([H])c([H])nc(N([H])C(=O)N([H])c3c([H])nc([H])c([H])c3[H])c2[H])c(Cl)c1[H],-14.994198930199872,0.6318659820821446,159.7499995967283,141.42304835425935,126.42884942405948,-8.92912648594466,24
atoms 29 bonds 31_5188,[H]c1nc(N([H])c2nc(C([H])(C([H])([H])[H])C([H])([H])[H])nc(C([H])([H])[H])c2[H])c([H])c(N([H])C(=O)c2c(Cl)c([H])c(N([H])[H])c([H])c2Cl)c1[H],-13.342892007312543,0.849920553882681,-48.47046493860475,-67.6830555560822,-81.02594756339474,-9.41414606942647,33
atoms 30 bonds 32_2937,[H]OC([H])([H])c1c([H])c(Cl)c(C(=O)N([H])c2c([H])c([H])nc(N([H])C(=O)N([H])C([H])([H])c3c([H])c([H])c([H])c([H])c3[H])c2[H])c(Cl)c1[H],-12.729937363561987,0.6761843345127416,127.88674820062758,89.92797786093033,77.19804049736834,-9.49908135049429,28
atoms 28 bonds 29_5581,[H]OC([H])([H])c1c([H])c(Cl)c(C(=O)N([H])c2c([H])c([H])nc(N([H])C(=O)N([H])C([H])([H])C([H])([H])C([H])([H])OC([H])([H])[H])c2[H])c(Cl)c1[H],-12.710927464148504,0.6435842687143996,103.23260609130877,74.47998411291816,61.769056648769656,-8.67923814395649,28
atoms 27 bonds 29_4113,[H]c1nc(N([H])c2nc(Cl)nc(C([H])([H])[H])c2[H])c([H])c(N([H])C(=O)c2c(Cl)c([H])c(N([H])[H])c([H])c2Cl)c1[H],-12.118471527001873,0.7237515464962496,-55.691320395745365,-78.73978924321202,-90.85826077021389,-8.81543558075358,24
atoms 28 bonds 30_3058,[H]O[C@]1([H])C([H])([H])[C@]([H])(N([H])C(=O)N([H])c2nc([H])c([H])c(N([H])C(=O)c3c(Cl)c([H])c(OC([H])([H])[H])c([H])c3Cl)c2[H])C1([H])[H],-12.063669465686104,0.6348431862087708,149.55623412819855,109.92332046800571,97.85965100231961,-9.04176767120851,26
atoms 25 bonds 27_4420,[H]c1nc(N([H])c2onc(C([H])([H])[H])c2[H])c([H])c(N([H])C(=O)c2c(Cl)c([H])c(Cl)c([H])c2Cl)c1[H],-11.805501744283788,0.7107978504302186,-140.8576661259969,-139.89031615590864,-151.69581790019242,-8.58980976122402,20
atoms 28 bonds 30_5176,[H]OC([H])([H])c1nc(C([H])([H])[H])nc(N([H])c2nc([H])c([H])c(N([H])C(=O)c3c(Cl)c([H])c(Cl)c([H])c3Cl)c2[H])c1[H],-11.433876858375399,0.837746219420102,-60.89158553145677,-73.41342077607156,-84.84729763444696,-8.76635210732381,26
atoms 26 bonds 28_724,[H]c1nc(N([H])C(=O)N([H])C2([H])C([H])([H])C([H])([H])C2([H])[H])c([H])c(N([H])C(=O)c2c(Cl)c([H])c(Cl)c([H])c2Cl)c1[H],-11.138735208462663,0.678061063684886,109.77394033051559,103.42179538452928,92.28306017606661,-8.48995407564169,21
